SampleNumber,LatinName,CommonName,FullClutch,FlipperLength,BodyMass,Sex
1,Pygoscelis adeliae,Adelie penguin,Yes,186,3800,Female
2,Pygoscelis adeliae,Adelie penguin,Yes,195,3250,Female
3,Pygoscelis adeliae,Adelie penguin,Yes,193,3450,Female
4,Pygoscelis adeliae,Adelie penguin,Yes,190,3650,Male
5,Pygoscelis adeliae,Adelie penguin,No,181,3625,Female
6,Pygoscelis adeliae,Adelie penguin,No,195,4675,Male
7,Pygoscelis adeliae,Adelie penguin,Yes,198,4400,Male
8,Pygoscelis adeliae,Adelie penguin,Yes,195,3450,Female
9,Pygoscelis adeliae,Adelie penguin,Yes,197,4500,Male
10,Pygoscelis adeliae,Adelie penguin,Yes,184,3325,Female
11,Pygoscelis adeliae,Adelie penguin,Yes,194,4200,Male
12,Pygoscelis adeliae,Adelie penguin,Yes,174,3400,Female
13,Pygoscelis adeliae,Adelie penguin,Yes,180,3600,Male
14,Pygoscelis adeliae,Adelie penguin,Yes,189,3800,Female
15,Pygoscelis adeliae,Adelie penguin,Yes,185,3950,Male
16,Pygoscelis adeliae,Adelie penguin,Yes,180,3800,Male
17,Pygoscelis adeliae,Adelie penguin,Yes,187,3800,Female
18,Pygoscelis adeliae,Adelie penguin,Yes,183,3550,Male
19,Pygoscelis adeliae,Adelie penguin,Yes,187,3200,Female
20,Pygoscelis adeliae,Adelie penguin,No,172,3150,Female
21,Pygoscelis adeliae,Adelie penguin,No,180,3950,Male
22,Pygoscelis adeliae,Adelie penguin,Yes,178,3250,Female
23,Pygoscelis adeliae,Adelie penguin,Yes,178,3900,Male
24,Pygoscelis adeliae,Adelie penguin,Yes,188,3300,Female
25,Pygoscelis adeliae,Adelie penguin,Yes,184,3900,Male
26,Pygoscelis adeliae,Adelie penguin,Yes,195,3325,Female
27,Pygoscelis adeliae,Adelie penguin,Yes,196,4150,Male
28,Pygoscelis adeliae,Adelie penguin,Yes,190,3950,Male
29,Pygoscelis adeliae,Adelie penguin,Yes,180,3550,Female
30,Pygoscelis adeliae,Adelie penguin,No,181,3300,Female
31,Pygoscelis adeliae,Adelie penguin,Yes,182,3150,Female
32,Pygoscelis adeliae,Adelie penguin,Yes,186,3100,Female
33,Pygoscelis adeliae,Adelie penguin,Yes,196,4400,Male
34,Pygoscelis adeliae,Adelie penguin,Yes,185,3000,Female
35,Pygoscelis adeliae,Adelie penguin,Yes,190,4600,Male
36,Pygoscelis adeliae,Adelie penguin,Yes,190,3450,Female
37,Pygoscelis adeliae,Adelie penguin,Yes,191,4150,Male
38,Pygoscelis adeliae,Adelie penguin,Yes,186,3500,Female
39,Pygoscelis adeliae,Adelie penguin,Yes,188,4300,Male
40,Pygoscelis adeliae,Adelie penguin,Yes,190,3450,Female
41,Pygoscelis adeliae,Adelie penguin,Yes,200,4050,Male
42,Pygoscelis adeliae,Adelie penguin,Yes,187,2900,Female
43,Pygoscelis adeliae,Adelie penguin,Yes,191,3700,Male
44,Pygoscelis adeliae,Adelie penguin,Yes,186,3550,Female
45,Pygoscelis adeliae,Adelie penguin,Yes,193,3800,Male
46,Pygoscelis adeliae,Adelie penguin,Yes,181,2850,Female
47,Pygoscelis adeliae,Adelie penguin,Yes,194,3750,Male
48,Pygoscelis adeliae,Adelie penguin,Yes,185,3150,Female
49,Pygoscelis adeliae,Adelie penguin,Yes,195,4400,Male
50,Pygoscelis adeliae,Adelie penguin,Yes,185,3600,Female
51,Pygoscelis adeliae,Adelie penguin,Yes,192,4050,Male
52,Pygoscelis adeliae,Adelie penguin,Yes,184,2850,Female
53,Pygoscelis adeliae,Adelie penguin,Yes,192,3950,Male
54,Pygoscelis adeliae,Adelie penguin,Yes,195,3350,Female
55,Pygoscelis adeliae,Adelie penguin,Yes,188,4100,Male
56,Pygoscelis adeliae,Adelie penguin,No,190,3050,Female
57,Pygoscelis adeliae,Adelie penguin,No,198,4450,Male
58,Pygoscelis adeliae,Adelie penguin,Yes,190,3600,Female
59,Pygoscelis adeliae,Adelie penguin,Yes,190,3900,Male
60,Pygoscelis adeliae,Adelie penguin,Yes,196,3550,Female
61,Pygoscelis adeliae,Adelie penguin,Yes,197,4150,Male
62,Pygoscelis adeliae,Adelie penguin,Yes,190,3700,Female
63,Pygoscelis adeliae,Adelie penguin,Yes,195,4250,Male
64,Pygoscelis adeliae,Adelie penguin,Yes,191,3700,Female
65,Pygoscelis adeliae,Adelie penguin,Yes,184,3900,Male
66,Pygoscelis adeliae,Adelie penguin,Yes,187,3550,Female
67,Pygoscelis adeliae,Adelie penguin,Yes,195,4000,Male
68,Pygoscelis adeliae,Adelie penguin,Yes,189,3200,Female
69,Pygoscelis adeliae,Adelie penguin,Yes,196,4700,Male
70,Pygoscelis adeliae,Adelie penguin,Yes,187,3800,Female
71,Pygoscelis adeliae,Adelie penguin,Yes,193,4200,Male
72,Pygoscelis adeliae,Adelie penguin,Yes,191,3350,Female
73,Pygoscelis adeliae,Adelie penguin,Yes,194,3550,Male
74,Pygoscelis adeliae,Adelie penguin,Yes,190,3800,Male
75,Pygoscelis adeliae,Adelie penguin,Yes,189,3500,Female
76,Pygoscelis adeliae,Adelie penguin,Yes,189,3950,Male
77,Pygoscelis adeliae,Adelie penguin,Yes,190,3600,Female
78,Pygoscelis adeliae,Adelie penguin,Yes,202,3550,Female
79,Pygoscelis adeliae,Adelie penguin,Yes,205,4300,Male
80,Pygoscelis adeliae,Adelie penguin,Yes,185,3400,Female
81,Pygoscelis adeliae,Adelie penguin,Yes,186,4450,Male
82,Pygoscelis adeliae,Adelie penguin,Yes,187,3300,Female
83,Pygoscelis adeliae,Adelie penguin,Yes,208,4300,Male
84,Pygoscelis adeliae,Adelie penguin,Yes,190,3700,Female
85,Pygoscelis adeliae,Adelie penguin,Yes,196,4350,Male
86,Pygoscelis adeliae,Adelie penguin,Yes,178,2900,Female
87,Pygoscelis adeliae,Adelie penguin,Yes,192,4100,Male
88,Pygoscelis adeliae,Adelie penguin,Yes,192,3725,Female
89,Pygoscelis adeliae,Adelie penguin,Yes,203,4725,Male
90,Pygoscelis adeliae,Adelie penguin,Yes,183,3075,Female
91,Pygoscelis adeliae,Adelie penguin,Yes,190,4250,Male
92,Pygoscelis adeliae,Adelie penguin,Yes,193,2925,Female
93,Pygoscelis adeliae,Adelie penguin,Yes,184,3550,Male
94,Pygoscelis adeliae,Adelie penguin,Yes,199,3750,Female
95,Pygoscelis adeliae,Adelie penguin,Yes,190,3900,Male
96,Pygoscelis adeliae,Adelie penguin,Yes,181,3175,Female
97,Pygoscelis adeliae,Adelie penguin,Yes,197,4775,Male
98,Pygoscelis adeliae,Adelie penguin,Yes,198,3825,Female
99,Pygoscelis adeliae,Adelie penguin,Yes,191,4600,Male
100,Pygoscelis adeliae,Adelie penguin,Yes,193,3200,Female
101,Pygoscelis adeliae,Adelie penguin,Yes,197,4275,Male
102,Pygoscelis adeliae,Adelie penguin,Yes,191,3900,Female
103,Pygoscelis adeliae,Adelie penguin,Yes,196,4075,Male
104,Pygoscelis adeliae,Adelie penguin,Yes,188,2900,Female
105,Pygoscelis adeliae,Adelie penguin,Yes,199,3775,Male
106,Pygoscelis adeliae,Adelie penguin,Yes,189,3350,Female
107,Pygoscelis adeliae,Adelie penguin,Yes,189,3325,Male
108,Pygoscelis adeliae,Adelie penguin,No,187,3150,Female
109,Pygoscelis adeliae,Adelie penguin,No,198,3500,Male
110,Pygoscelis adeliae,Adelie penguin,Yes,176,3450,Female
111,Pygoscelis adeliae,Adelie penguin,Yes,202,3875,Male
112,Pygoscelis adeliae,Adelie penguin,Yes,186,3050,Female
113,Pygoscelis adeliae,Adelie penguin,Yes,199,4000,Male
114,Pygoscelis adeliae,Adelie penguin,Yes,191,3275,Female
115,Pygoscelis adeliae,Adelie penguin,Yes,195,4300,Male
116,Pygoscelis adeliae,Adelie penguin,Yes,191,3050,Female
117,Pygoscelis adeliae,Adelie penguin,Yes,210,4000,Male
118,Pygoscelis adeliae,Adelie penguin,No,190,3325,Female
119,Pygoscelis adeliae,Adelie penguin,No,197,3500,Male
120,Pygoscelis adeliae,Adelie penguin,Yes,193,3500,Female
121,Pygoscelis adeliae,Adelie penguin,Yes,199,4475,Male
122,Pygoscelis adeliae,Adelie penguin,Yes,187,3425,Female
123,Pygoscelis adeliae,Adelie penguin,Yes,190,3900,Male
124,Pygoscelis adeliae,Adelie penguin,Yes,191,3175,Female
125,Pygoscelis adeliae,Adelie penguin,Yes,200,3975,Male
126,Pygoscelis adeliae,Adelie penguin,No,185,3400,Female
127,Pygoscelis adeliae,Adelie penguin,No,193,4250,Male
128,Pygoscelis adeliae,Adelie penguin,Yes,193,3400,Female
129,Pygoscelis adeliae,Adelie penguin,Yes,187,3475,Male
130,Pygoscelis adeliae,Adelie penguin,Yes,188,3050,Female
131,Pygoscelis adeliae,Adelie penguin,Yes,190,3725,Male
132,Pygoscelis adeliae,Adelie penguin,Yes,192,3000,Female
133,Pygoscelis adeliae,Adelie penguin,Yes,185,3650,Male
134,Pygoscelis adeliae,Adelie penguin,Yes,190,4250,Male
135,Pygoscelis adeliae,Adelie penguin,Yes,184,3475,Female
136,Pygoscelis adeliae,Adelie penguin,Yes,195,3450,Female
137,Pygoscelis adeliae,Adelie penguin,Yes,193,3750,Male
138,Pygoscelis adeliae,Adelie penguin,Yes,187,3700,Female
139,Pygoscelis adeliae,Adelie penguin,Yes,201,4000,Male
140,Pygoscelis papua,Gentoo penguin,Yes,211,4500,Female
141,Pygoscelis papua,Gentoo penguin,Yes,230,5700,Male
142,Pygoscelis papua,Gentoo penguin,Yes,210,4450,Female
143,Pygoscelis papua,Gentoo penguin,Yes,218,5700,Male
144,Pygoscelis papua,Gentoo penguin,Yes,215,5400,Male
145,Pygoscelis papua,Gentoo penguin,Yes,210,4550,Female
146,Pygoscelis papua,Gentoo penguin,Yes,211,4800,Female
147,Pygoscelis papua,Gentoo penguin,Yes,219,5200,Male
148,Pygoscelis papua,Gentoo penguin,Yes,209,4400,Female
149,Pygoscelis papua,Gentoo penguin,Yes,215,5150,Male
150,Pygoscelis papua,Gentoo penguin,No,214,4650,Female
151,Pygoscelis papua,Gentoo penguin,No,216,5550,Male
152,Pygoscelis papua,Gentoo penguin,Yes,214,4650,Female
153,Pygoscelis papua,Gentoo penguin,Yes,213,5850,Male
154,Pygoscelis papua,Gentoo penguin,Yes,210,4200,Female
155,Pygoscelis papua,Gentoo penguin,Yes,217,5850,Male
156,Pygoscelis papua,Gentoo penguin,Yes,210,4150,Female
157,Pygoscelis papua,Gentoo penguin,Yes,221,6300,Male
158,Pygoscelis papua,Gentoo penguin,Yes,209,4800,Female
159,Pygoscelis papua,Gentoo penguin,Yes,222,5350,Male
160,Pygoscelis papua,Gentoo penguin,Yes,218,5700,Male
161,Pygoscelis papua,Gentoo penguin,Yes,215,5000,Female
162,Pygoscelis papua,Gentoo penguin,Yes,213,4400,Female
163,Pygoscelis papua,Gentoo penguin,Yes,215,5050,Male
164,Pygoscelis papua,Gentoo penguin,Yes,215,5000,Female
165,Pygoscelis papua,Gentoo penguin,Yes,215,5100,Male
166,Pygoscelis papua,Gentoo penguin,Yes,215,5650,Male
167,Pygoscelis papua,Gentoo penguin,Yes,210,4600,Female
168,Pygoscelis papua,Gentoo penguin,Yes,220,5550,Male
169,Pygoscelis papua,Gentoo penguin,Yes,209,4700,Female
170,Pygoscelis papua,Gentoo penguin,Yes,207,5050,Female
171,Pygoscelis papua,Gentoo penguin,Yes,230,6050,Male
172,Pygoscelis papua,Gentoo penguin,Yes,220,5150,Female
173,Pygoscelis papua,Gentoo penguin,Yes,220,5400,Male
174,Pygoscelis papua,Gentoo penguin,Yes,213,4950,Female
175,Pygoscelis papua,Gentoo penguin,Yes,219,5250,Male
176,Pygoscelis papua,Gentoo penguin,Yes,208,4350,Female
177,Pygoscelis papua,Gentoo penguin,Yes,208,5350,Male
178,Pygoscelis papua,Gentoo penguin,No,208,3950,Female
179,Pygoscelis papua,Gentoo penguin,No,225,5700,Male
180,Pygoscelis papua,Gentoo penguin,Yes,210,4300,Female
181,Pygoscelis papua,Gentoo penguin,Yes,216,4750,Male
182,Pygoscelis papua,Gentoo penguin,Yes,222,5550,Male
183,Pygoscelis papua,Gentoo penguin,Yes,217,4900,Female
184,Pygoscelis papua,Gentoo penguin,No,210,4200,Female
185,Pygoscelis papua,Gentoo penguin,No,225,5400,Male
186,Pygoscelis papua,Gentoo penguin,Yes,213,5100,Female
187,Pygoscelis papua,Gentoo penguin,Yes,215,5300,Male
188,Pygoscelis papua,Gentoo penguin,Yes,210,4850,Female
189,Pygoscelis papua,Gentoo penguin,Yes,220,5300,Male
190,Pygoscelis papua,Gentoo penguin,Yes,210,4400,Female
191,Pygoscelis papua,Gentoo penguin,Yes,225,5000,Male
192,Pygoscelis papua,Gentoo penguin,Yes,217,4900,Female
193,Pygoscelis papua,Gentoo penguin,Yes,220,5050,Male
194,Pygoscelis papua,Gentoo penguin,Yes,208,4300,Female
195,Pygoscelis papua,Gentoo penguin,Yes,220,5000,Male
196,Pygoscelis papua,Gentoo penguin,Yes,208,4450,Female
197,Pygoscelis papua,Gentoo penguin,Yes,224,5550,Male
198,Pygoscelis papua,Gentoo penguin,Yes,208,4200,Female
199,Pygoscelis papua,Gentoo penguin,Yes,221,5300,Male
200,Pygoscelis papua,Gentoo penguin,Yes,214,4400,Female
201,Pygoscelis papua,Gentoo penguin,Yes,231,5650,Male
202,Pygoscelis papua,Gentoo penguin,Yes,219,4700,Female
203,Pygoscelis papua,Gentoo penguin,Yes,230,5700,Male
204,Pygoscelis papua,Gentoo penguin,Yes,229,5800,Male
205,Pygoscelis papua,Gentoo penguin,Yes,220,4700,Female
206,Pygoscelis papua,Gentoo penguin,Yes,223,5550,Male
207,Pygoscelis papua,Gentoo penguin,Yes,216,4750,Female
208,Pygoscelis papua,Gentoo penguin,Yes,221,5000,Male
209,Pygoscelis papua,Gentoo penguin,Yes,221,5100,Male
210,Pygoscelis papua,Gentoo penguin,Yes,217,5200,Female
211,Pygoscelis papua,Gentoo penguin,Yes,216,4700,Female
212,Pygoscelis papua,Gentoo penguin,Yes,230,5800,Male
213,Pygoscelis papua,Gentoo penguin,Yes,209,4600,Female
214,Pygoscelis papua,Gentoo penguin,Yes,220,6000,Male
215,Pygoscelis papua,Gentoo penguin,Yes,215,4750,Female
216,Pygoscelis papua,Gentoo penguin,Yes,223,5950,Male
217,Pygoscelis papua,Gentoo penguin,Yes,212,4625,Female
218,Pygoscelis papua,Gentoo penguin,Yes,221,5450,Male
219,Pygoscelis papua,Gentoo penguin,Yes,212,4725,Female
220,Pygoscelis papua,Gentoo penguin,Yes,224,5350,Male
221,Pygoscelis papua,Gentoo penguin,Yes,212,4750,Female
222,Pygoscelis papua,Gentoo penguin,Yes,228,5600,Male
223,Pygoscelis papua,Gentoo penguin,Yes,218,4600,Female
224,Pygoscelis papua,Gentoo penguin,Yes,218,5300,Male
225,Pygoscelis papua,Gentoo penguin,Yes,212,4875,Female
226,Pygoscelis papua,Gentoo penguin,Yes,230,5550,Male
227,Pygoscelis papua,Gentoo penguin,Yes,218,4950,Female
228,Pygoscelis papua,Gentoo penguin,Yes,228,5400,Male
229,Pygoscelis papua,Gentoo penguin,Yes,212,4750,Female
230,Pygoscelis papua,Gentoo penguin,Yes,224,5650,Male
231,Pygoscelis papua,Gentoo penguin,Yes,214,4850,Female
232,Pygoscelis papua,Gentoo penguin,Yes,226,5200,Male
233,Pygoscelis papua,Gentoo penguin,Yes,216,4925,Male
234,Pygoscelis papua,Gentoo penguin,Yes,222,4875,Female
235,Pygoscelis papua,Gentoo penguin,Yes,203,4625,Female
236,Pygoscelis papua,Gentoo penguin,Yes,225,5250,Male
237,Pygoscelis papua,Gentoo penguin,Yes,219,4850,Female
238,Pygoscelis papua,Gentoo penguin,Yes,228,5600,Male
239,Pygoscelis papua,Gentoo penguin,Yes,215,4975,Female
240,Pygoscelis papua,Gentoo penguin,Yes,228,5500,Male
241,Pygoscelis papua,Gentoo penguin,Yes,215,5500,Male
242,Pygoscelis papua,Gentoo penguin,Yes,210,4700,Female
243,Pygoscelis papua,Gentoo penguin,Yes,219,5500,Male
244,Pygoscelis papua,Gentoo penguin,Yes,208,4575,Female
245,Pygoscelis papua,Gentoo penguin,Yes,209,5500,Male
246,Pygoscelis papua,Gentoo penguin,Yes,216,5000,Female
247,Pygoscelis papua,Gentoo penguin,Yes,229,5950,Male
248,Pygoscelis papua,Gentoo penguin,Yes,213,4650,Female
249,Pygoscelis papua,Gentoo penguin,Yes,230,5500,Male
250,Pygoscelis papua,Gentoo penguin,Yes,217,4375,Female
251,Pygoscelis papua,Gentoo penguin,Yes,230,5850,Male
252,Pygoscelis papua,Gentoo penguin,Yes,222,6000,Male
253,Pygoscelis papua,Gentoo penguin,No,214,4925,Female
254,Pygoscelis papua,Gentoo penguin,Yes,215,4850,Female
255,Pygoscelis papua,Gentoo penguin,Yes,222,5750,Male
256,Pygoscelis papua,Gentoo penguin,Yes,212,5200,Female
257,Pygoscelis papua,Gentoo penguin,Yes,213,5400,Male
258,Pygoscelis antarctica,Chinstrap penguin,No,192,3500,Female
259,Pygoscelis antarctica,Chinstrap penguin,No,196,3900,Male
260,Pygoscelis antarctica,Chinstrap penguin,Yes,193,3650,Male
261,Pygoscelis antarctica,Chinstrap penguin,Yes,188,3525,Female
262,Pygoscelis antarctica,Chinstrap penguin,Yes,197,3725,Male
263,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3950,Female
264,Pygoscelis antarctica,Chinstrap penguin,Yes,178,3250,Female
265,Pygoscelis antarctica,Chinstrap penguin,Yes,197,3750,Male
266,Pygoscelis antarctica,Chinstrap penguin,Yes,195,4150,Female
267,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3700,Male
268,Pygoscelis antarctica,Chinstrap penguin,Yes,193,3800,Female
269,Pygoscelis antarctica,Chinstrap penguin,Yes,194,3775,Male
270,Pygoscelis antarctica,Chinstrap penguin,Yes,185,3700,Female
271,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4050,Male
272,Pygoscelis antarctica,Chinstrap penguin,Yes,190,3575,Female
273,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4050,Male
274,Pygoscelis antarctica,Chinstrap penguin,No,197,3300,Male
275,Pygoscelis antarctica,Chinstrap penguin,No,181,3700,Female
276,Pygoscelis antarctica,Chinstrap penguin,Yes,190,3450,Female
277,Pygoscelis antarctica,Chinstrap penguin,Yes,195,4400,Male
278,Pygoscelis antarctica,Chinstrap penguin,Yes,181,3600,Female
279,Pygoscelis antarctica,Chinstrap penguin,Yes,191,3400,Male
280,Pygoscelis antarctica,Chinstrap penguin,No,187,2900,Female
281,Pygoscelis antarctica,Chinstrap penguin,No,193,3800,Male
282,Pygoscelis antarctica,Chinstrap penguin,No,195,3300,Female
283,Pygoscelis antarctica,Chinstrap penguin,No,197,4150,Male
284,Pygoscelis antarctica,Chinstrap penguin,No,200,3400,Female
285,Pygoscelis antarctica,Chinstrap penguin,No,200,3800,Male
286,Pygoscelis antarctica,Chinstrap penguin,Yes,191,3700,Female
287,Pygoscelis antarctica,Chinstrap penguin,Yes,205,4550,Male
288,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3200,Female
289,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4300,Male
290,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3350,Female
291,Pygoscelis antarctica,Chinstrap penguin,Yes,203,4100,Male
292,Pygoscelis antarctica,Chinstrap penguin,Yes,195,3600,Male
