Sample Number,LatinName,CommonName,Region,Island,FullClutch,EggDate,CulmenLength,CulmenDepth,FlipperLength,BodyMass,Sex
1,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,11/11/2007,39.5,17.4,186,3800,Female
2,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,40.3,18,195,3250,Female
3,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,36.7,19.3,193,3450,Female
4,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,39.3,20.6,190,3650,Male
5,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,15/11/2007,38.9,17.8,181,3625,Female
6,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,No,15/11/2007,39.2,19.6,195,4675,Male
7,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,34.6,21.1,198,4400,Male
8,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,12/11/2007,38.7,19,195,3450,Female
9,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,12/11/2007,42.5,20.7,197,4500,Male
10,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,34.4,18.4,184,3325,Female
11,Pygoscelis adeliae,Adelie penguin,Anvers,Torgersen,Yes,16/11/2007,46,21.5,194,4200,Male
12,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,37.8,18.3,174,3400,Female
13,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,37.7,18.7,180,3600,Male
14,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,35.9,19.2,189,3800,Female
15,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,38.2,18.1,185,3950,Male
16,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,10/11/2007,38.8,17.2,180,3800,Male
17,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,10/11/2007,35.3,18.9,187,3800,Female
18,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,40.6,18.6,183,3550,Male
19,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,Yes,12/11/2007,40.5,17.9,187,3200,Female
20,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,No,10/11/2007,37.9,18.6,172,3150,Female
21,Pygoscelis adeliae,Adelie penguin,Anvers,Biscoe,No,10/11/2007,40.5,18.9,180,3950,Male
22,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,39.5,16.7,178,3250,Female
23,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,37.2,18.1,178,3900,Male
24,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,39.5,17.8,188,3300,Female
25,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,09/11/2007,40.9,18.9,184,3900,Male
26,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,36.4,17,195,3325,Female
27,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,39.2,21.1,196,4150,Male
28,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,38.8,20,190,3950,Male
29,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,42.2,18.5,180,3550,Female
30,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,No,13/11/2007,37.6,19.3,181,3300,Female
31,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,36.5,18,182,3150,Female
32,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,19/11/2007,36,18.5,186,3100,Female
33,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,19/11/2007,44.1,19.7,196,4400,Male
34,Pygoscelis adeliae,Adelie penguin,Anvers,Dream,Yes,16/11/2007,37,16.9,185,3000,Female
